"Name","Live Bytes","Live Objects"
"sun.reflect.generics.factory.CoreReflectionFactory","6,936 B (0%)","289 (0%)"
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl","6,864 B (0%)","286 (0%)"
"org.springframework.core.convert.support.GenericConversionService$ConvertersForPair","6,832 B (0%)","427 (0%)"
"java.util.ImmutableCollections$List12","6,672 B (0%)","278 (0%)"
"org.apache.tomcat.util.buf.CharChunk","6,624 B (0%)","138 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet[]","6,608 B (0%)","253 (0%)"
"javax.management.ImmutableDescriptor","6,552 B (0%)","273 (0%)"
"org.apache.tomcat.util.buf.MessageBytes","6,528 B (0%)","136 (0%)"
"org.h2.expression.function.FunctionInfo","6,400 B (0%)","200 (0%)"
"sun.reflect.generics.tree.FieldTypeSignature[]","6,240 B (0%)","295 (0%)"
"java.lang.Short","6,160 B (0%)","385 (0%)"
"java.util.concurrent.ConcurrentHashMap$TreeNode","6,144 B (0%)","128 (0%)"
"java.lang.reflect.Parameter","6,080 B (0%)","152 (0%)"
"java.util.WeakHashMap","6,048 B (0%)","126 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping[]","6,016 B (0%)","228 (0%)"
"java.io.DataOutputStream","5,960 B (0%)","149 (0%)"
"java.security.Principal[]","5,952 B (0%)","372 (0%)"
"java.security.ProtectionDomain$Key","5,952 B (0%)","372 (0%)"
"sun.reflect.generics.repository.ClassRepository","5,888 B (0%)","184 (0%)"
"java.util.Hashtable$Entry[]","5,848 B (0%)","81 (0%)"
"com.sun.jmx.mbeanserver.ConvertingMethod","5,760 B (0%)","180 (0%)"
"org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider","5,632 B (0%)","176 (0%)"
"org.thymeleaf.processor.element.IElementProcessor[]","5,616 B (0%)","344 (0%)"
"java.util.logging.LogManager$LogNode","5,600 B (0%)","175 (0%)"
"java.util.zip.ZipFile$Source","5,520 B (0%)","69 (0%)"
"org.springframework.core.convert.support.GenericConversionService$ConverterAdapter","5,504 B (0%)","172 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets","5,472 B (0%)","228 (0%)"
